institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.925,0.0,-0.5,DK0009404451
Jyske,10,86.774,0.0,0.0,DK0009403800
Jyske,10,93.894,0.0,2.0,DK0009408957
Jyske,15,81.482,0.0,0.0,DK0009404022
Jyske,15,83.896,0.0,0.5,DK0009403990
Jyske,15,85.65,0.0,1.5,DK0009407710
Jyske,20,72.954,0.0,0.0,DK0009405342
Jyske,20,75.937,0.0,0.5,DK0009399784
Jyske,20,79.131,0.0,1.0,DK0009405698
Jyske,20,82.758,0.0,1.5,DK0009407041
Jyske,20,85.377,0.0,2.0,DK0009407553
Jyske,20,90.732,0.0,3.0,DK0009408874
Jyske,20,95.1,0.0,4.0,DK0009410268
Jyske,30,66.855,0.0,0.5,DK0009399867
Jyske,30,65.734,10.0,0.5,DK0009404535
Jyske,30,72.636,0.0,1.0,DK0009399941
Jyske,30,67.719,10.0,1.0,DK0009403131
Jyske,30,62.238,30.0,1.0,DK0009405185
Jyske,30,76.935,0.0,1.5,DK0009403644
Jyske,30,73.068,10.0,1.5,DK0009403727
Jyske,30,69.413,30.0,1.5,DK0009405508
Jyske,30,81.793,0.0,2.0,DK0009407124
Jyske,30,79.098,10.0,2.0,DK0009406746
Jyske,30,76.018,30.0,2.0,DK0009406076
Jyske,30,85.272,0.0,2.5,DK0009407470
Jyske,30,83.358,10.0,2.5,DK0009407397
Jyske,30,80.41,30.0,2.5,DK0009407207
Jyske,30,88.255,0.0,3.0,DK0009408288
Jyske,30,86.648,10.0,3.0,DK0009408015
Jyske,30,83.418,30.0,3.0,DK0009407983
Jyske,30,90.163,10.0,3.5,DK0009408791
Jyske,30,94.104,0.0,4.0,DK0009409252
Jyske,30,92.953,10.0,4.0,DK0009409179
Jyske,30,90.809,30.0,4.0,DK0009409096
Jyske,30,97.42,0.0,5.0,DK0009409922
Jyske,30,96.722,10.0,5.0,DK0009409419
Jyske,30,95.763,30.0,5.0,DK0009409336
RealKreditDanmark,30,67.55,10.0,1.0,DK0004616018
RealKreditDanmark,30,72.0,0.0,1.0,DK0004616281
RealKreditDanmark,20,75.825,0.0,0.5,DK0004616364
RealKreditDanmark,15,83.751,0.0,0.5,DK0004616448
RealKreditDanmark,10,87.585,0.0,0.0,DK0004616521
RealKreditDanmark,30,66.85,0.0,0.5,DK0004616604
RealKreditDanmark,30,62.25,29.75,1.0,DK0004616794
RealKreditDanmark,15,81.65,0.0,0.0,DK0004616877
RealKreditDanmark,10,87.135,0.0,-0.5,DK0004616950
RealKreditDanmark,0,65.825,10.0,0.5,DK0004618733
RealKreditDanmark,20,74.275,0.0,0.0,DK0004618816
