institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.883,0.0,-0.5,DK0009404451
Jyske,10,86.74,0.0,0.0,DK0009403800
Jyske,10,93.869,0.0,2.0,DK0009408957
Jyske,15,81.457,0.0,0.0,DK0009404022
Jyske,15,83.881,0.0,0.5,DK0009403990
Jyske,15,85.6,0.0,1.5,DK0009407710
Jyske,20,72.875,0.0,0.0,DK0009405342
Jyske,20,75.888,0.0,0.5,DK0009399784
Jyske,20,79.052,0.0,1.0,DK0009405698
Jyske,20,82.689,0.0,1.5,DK0009407041
Jyske,20,85.298,0.0,2.0,DK0009407553
Jyske,20,90.678,0.0,3.0,DK0009408874
Jyske,20,95.1,0.0,4.0,DK0009410268
Jyske,30,66.801,0.0,0.5,DK0009399867
Jyske,30,65.66,10.0,0.5,DK0009404535
Jyske,30,72.587,0.0,1.0,DK0009399941
Jyske,30,67.655,10.0,1.0,DK0009403131
Jyske,30,62.157,30.0,1.0,DK0009405185
Jyske,30,76.873,0.0,1.5,DK0009403644
Jyske,30,73.004,10.0,1.5,DK0009403727
Jyske,30,69.328,30.0,1.5,DK0009405508
Jyske,30,81.724,0.0,2.0,DK0009407124
Jyske,30,79.034,10.0,2.0,DK0009406746
Jyske,30,75.954,30.0,2.0,DK0009406076
Jyske,30,85.208,0.0,2.5,DK0009407470
Jyske,30,83.294,10.0,2.5,DK0009407397
Jyske,30,80.346,30.0,2.5,DK0009407207
Jyske,30,88.191,0.0,3.0,DK0009408288
Jyske,30,86.578,10.0,3.0,DK0009408015
Jyske,30,83.363,30.0,3.0,DK0009407983
Jyske,30,90.101,10.0,3.5,DK0009408791
Jyske,30,94.038,0.0,4.0,DK0009409252
Jyske,30,92.889,10.0,4.0,DK0009409179
Jyske,30,90.775,30.0,4.0,DK0009409096
Jyske,30,97.362,0.0,5.0,DK0009409922
Jyske,30,96.66,10.0,5.0,DK0009409419
Jyske,30,95.699,30.0,5.0,DK0009409336
RealKreditDanmark,30,67.55,10.0,1.0,DK0004616018
RealKreditDanmark,30,72.0,0.0,1.0,DK0004616281
RealKreditDanmark,20,75.825,0.0,0.5,DK0004616364
RealKreditDanmark,15,83.751,0.0,0.5,DK0004616448
RealKreditDanmark,10,87.585,0.0,0.0,DK0004616521
RealKreditDanmark,30,66.85,0.0,0.5,DK0004616604
